algorithm,structure,dataset,size,time
radix,linked,half,1000,0.004517499997746199
shell,array,flat,1000,0.002317700011190027
shell,linked,flat,1000,0.0023551000049337745
quick,array,flat,1000,0.0007308999774977565
quick,linked,flat,1000,0.0008323999936692417
heap,array,flat,1000,0.0004532000166364014
heap,linked,flat,1000,0.0004647999885492027
counting,array,flat,1000,0.0001404000213369727
counting,linked,flat,1000,0.00012139999307692051
merge,array,flat,1000,0.0044920999789610505
merge,linked,flat,1000,0.009063099976629019
selection,array,sorted,1000,0.04873280000174418
selection,linked,sorted,1000,0.054362200025934726
radix,array,flat,1000,0.0011272999690845609
radix,linked,flat,1000,0.0012382999993860722
selection,array,reverse,1000,0.05112290004035458
selection,linked,reverse,1000,0.05306560004828498
bubble,array,sorted,1000,0.06117420003283769
bubble,linked,sorted,1000,0.062478400010149926
counting,array,half,1000,0.03193309996277094
counting,linked,half,1000,0.037455799989402294
bubble,array,almost,1000,0.06060929998056963
bubble,linked,almost,1000,0.06194589997176081
selection,array,almost,1000,0.048278900037985295
selection,linked,almost,1000,0.08695240004453808
heap,array,random,10000,0.0067070999648422
heap,linked,random,10000,0.007103000010829419
insertion,array,flat,1000,0.04931269999360666
insertion,linked,flat,1000,0.04936419997829944
selection,array,half,1000,0.05201080004917458
selection,linked,half,1000,0.08406130003277212
selection,array,flat,1000,0.055563599977176636
selection,linked,flat,1000,0.05505769996671006
bubble,array,random,1000,0.10052410000935197
bubble,linked,random,1000,0.12921579997055233
insertion,array,reverse,1000,0.0961748999543488
insertion,linked,reverse,1000,0.0996327999746427
insertion,array,sorted,10000,0.0025363999884575605
insertion,linked,sorted,10000,0.002452499989885837
bubble,array,half,1000,0.10015680000651628
bubble,linked,half,1000,0.07398360001388937
merge,array,random,10000,0.05986380000831559
merge,linked,random,10000,0.053620200022123754
heap,array,sorted,10000,0.006487100035883486
heap,linked,sorted,10000,0.007935800007544458
quick,array,random,10000,0.04374870000174269
quick,linked,random,10000,0.043936200032476336
radix,array,random,10000,0.03363229997921735
radix,linked,random,10000,0.032366300001740456
counting,array,sorted,10000,0.0051877000369131565
counting,linked,sorted,10000,0.004883799992967397
counting,array,random,10000,0.048209299973677844
counting,linked,random,10000,0.040470799955073744
shell,array,sorted,10000,0.04659919999539852
shell,linked,sorted,10000,0.0301834000274539
shell,array,random,10000,0.07752779999282211
shell,linked,random,10000,0.07842699997127056
bubble,array,flat,1000,0.10403089999454096
bubble,linked,flat,1000,0.10205420001875609
quick,array,sorted,10000,0.04090459999861196
quick,linked,sorted,10000,0.031352799967862666
bubble,array,reverse,1000,0.13826340000377968
bubble,linked,reverse,1000,0.145028899947647
merge,array,sorted,10000,0.041691699996590614
merge,linked,sorted,10000,0.033163399959448725
counting,array,reverse,10000,0.005158499989192933
counting,linked,reverse,10000,0.004938600002788007
heap,array,reverse,10000,0.005288899992592633
