algorithm,structure,dataset,size,time
quick,array,sorted,1000,0.0012282999814487994
quick,linked_list,sorted,1000,0.0011956999660469592
heap,array,sorted,1000,0.000291300006210804
heap,linked_list,sorted,1000,0.00025670003378763795
counting,array,sorted,1000,0.000271800032351166
counting,linked_list,sorted,1000,0.00028360000578686595
radix,array,sorted,1000,0.0009723000111989677
radix,linked_list,sorted,1000,0.0010164999985136092
bubble,array,reverse,1000,0.07636730000376701
bubble,linked_list,reverse,1000,0.08394700003555045
selection,array,reverse,1000,0.03282200003741309
selection,linked_list,reverse,1000,0.029377699946053326
insertion,array,reverse,1000,0.05478070001117885
insertion,linked_list,reverse,1000,0.05609510000795126
shell,array,reverse,1000,0.001492900017183274
shell,linked_list,reverse,1000,0.0016104999813251197
merge,array,reverse,1000,0.0018150999676436186
merge,linked_list,reverse,1000,0.0017796000465750694
quick,array,reverse,1000,0.0011965999729000032
quick,linked_list,reverse,1000,0.0011823000386357307
heap,array,reverse,1000,0.0002571999793872237
heap,linked_list,reverse,1000,0.00026709999656304717
counting,array,reverse,1000,0.00027139997109770775
counting,linked_list,reverse,1000,0.0002660999889485538
radix,array,reverse,1000,0.0014479000237770379
radix,linked_list,reverse,1000,0.0013266999740153551
bubble,array,almost_sorted,1000,0.04111460002604872
bubble,linked_list,almost_sorted,1000,0.044705000007525086
selection,array,almost_sorted,1000,0.027208900020923465
selection,linked_list,almost_sorted,1000,0.02774160000262782
insertion,array,almost_sorted,1000,0.0016890999977476895
insertion,linked_list,almost_sorted,1000,0.0016089000273495913
shell,array,almost_sorted,1000,0.001457399979699403
shell,linked_list,almost_sorted,1000,0.0014819999923929572
merge,array,almost_sorted,1000,0.001971099991351366
merge,linked_list,almost_sorted,1000,0.0019135000184178352
quick,array,almost_sorted,1000,0.001344399992376566
quick,linked_list,almost_sorted,1000,0.001299499999731779
heap,array,almost_sorted,1000,0.0002962999860756099
heap,linked_list,almost_sorted,1000,0.0002568999771028757
counting,array,almost_sorted,1000,0.00027840002439916134
counting,linked_list,almost_sorted,1000,0.0002660999889485538
radix,array,almost_sorted,1000,0.0010096000041812658
radix,linked_list,almost_sorted,1000,0.0010076999897137284
bubble,array,half_sorted,1000,0.0409930000314489
bubble,linked_list,half_sorted,1000,0.04049369995482266
selection,array,half_sorted,1000,0.0277815000154078
selection,linked_list,half_sorted,1000,0.031171000038739294
insertion,array,half_sorted,1000,0.00852219999069348
insertion,linked_list,half_sorted,1000,0.007347500009927899
shell,array,half_sorted,1000,0.0018316000350750983
shell,linked_list,half_sorted,1000,0.0018665000097826123
merge,array,half_sorted,1000,0.002711599983740598
merge,linked_list,half_sorted,1000,0.001962499984074384
quick,array,half_sorted,1000,0.0016013000276871026
quick,linked_list,half_sorted,1000,0.0015631999704055488
heap,array,half_sorted,1000,0.0002694000140763819
heap,linked_list,half_sorted,1000,0.00025729998014867306
counting,array,half_sorted,1000,0.01992480002809316
counting,linked_list,half_sorted,1000,0.017398099997080863
radix,array,half_sorted,1000,0.0017687000217847526
radix,linked_list,half_sorted,1000,0.0017482000403106213
bubble,array,flat,1000,0.05760599998757243
bubble,linked_list,flat,1000,0.0555498999892734
selection,array,flat,1000,0.026911099965218455
selection,linked_list,flat,1000,0.029499500000383705
insertion,array,flat,1000,0.023150899971369654
insertion,linked_list,flat,1000,0.023043899971526116
shell,array,flat,1000,0.0014538000104948878
shell,linked_list,flat,1000,0.0013009000103920698
merge,array,flat,1000,0.002287800016347319
merge,linked_list,flat,1000,0.002344899985473603
quick,array,flat,1000,0.00031730002956464887
quick,linked_list,flat,1000,0.00030590000096708536
heap,array,flat,1000,0.0002753000007942319
heap,linked_list,flat,1000,0.0002649999805726111
counting,array,flat,1000,8.239998714998364e-05
counting,linked_list,flat,1000,7.43999844416976e-05
radix,array,flat,1000,0.0003276999923400581
radix,linked_list,flat,1000,0.0003755000070668757
bubble,array,random,10000,7.131834200001322
bubble,linked_list,random,10000,7.106608800007962
selection,array,random,10000,2.8337973000016063
selection,linked_list,random,10000,2.9611950000398792
insertion,array,random,10000,3.556059400027152
insertion,linked_list,random,10000,3.7697987999999896
shell,array,random,10000,0.046912599995266646
shell,linked_list,random,10000,0.047050399996805936
merge,array,random,10000,0.0597575000138022
merge,linked_list,random,10000,0.04789280000841245
quick,array,random,10000,0.04508469998836517
quick,linked_list,random,10000,0.027990899980068207
heap,array,random,10000,0.003840200020931661
heap,linked_list,random,10000,0.0039005999569781125
counting,array,random,10000,0.01989180000964552
counting,linked_list,random,10000,0.01852750004036352
radix,array,random,10000,0.023497799993492663
radix,linked_list,random,10000,0.01699420000659302
bubble,array,sorted,10000,4.405854400014505
bubble,linked_list,sorted,10000,3.958949299994856
selection,array,sorted,10000,2.8203764999634586
selection,linked_list,sorted,10000,2.7920139000052586
insertion,array,sorted,10000,0.0013651999761350453
insertion,linked_list,sorted,10000,0.0014690000098198652
shell,array,sorted,10000,0.01467380003305152
shell,linked_list,sorted,10000,0.01461760001257062
merge,array,sorted,10000,0.019916399964131415
merge,linked_list,sorted,10000,0.020906399993691593
quick,array,sorted,10000,0.019090200017672032
quick,linked_list,sorted,10000,0.01904300000751391
heap,array,sorted,10000,0.0034145000390708447
heap,linked_list,sorted,10000,0.0030680999625474215
counting,array,sorted,10000,0.0027216000016778708
counting,linked_list,sorted,10000,0.00267290003830567
radix,array,sorted,10000,0.015492100035771728
radix,linked_list,sorted,10000,0.013769400015007704
bubble,array,reverse,10000,10.002437999995891
bubble,linked_list,reverse,10000,9.460275100020226
selection,array,reverse,10000,3.1693341999780387
selection,linked_list,reverse,10000,3.045292299997527
insertion,array,reverse,10000,6.209005100012291
insertion,linked_list,reverse,10000,7.274522599996999
shell,array,reverse,10000,0.02920549997361377
